Distance,Angle,Measure1,Measure2,Measure3,AvgMeasure,PError,AbsError
0.25,0,0.25788,0.25793,0.25786,0.25789,3.156,0.00789
,15,0.28838,0.2882,0.2879,0.28816,15.264,0.03816
,30,0.73137,0.73202,0.74942,0.7376033333,195.0413333,0.4876033333
,45,0.97211,1.0298,1.0357,1.012536667,305.0146667,0.7625366667
,60,1.1277,1.1098,1.1103,1.115933333,346.3733333,0.8659333333
,75,0.30807,0.30827,0.31144,0.30926,23.704,0.05926
0.40,0,0.39794,0.39456,0.39619,0.39623,0.9425,0.00377
,15,0.66922,0.57005,0.68833,0.6425333333,60.63333333,0.2425333333
,30,1.3852,1.3407,1.3895,1.3718,242.95,0.9718
,45,1.3624,1.2915,1.3127,1.3222,230.55,0.9222
,60,1.1542,1.1306,1.1495,1.144766667,186.1916667,0.7447666667
,75,1.2994,1.3271,1.3161,1.3142,228.55,0.9142
0.55,0,0.54891,0.55131,0.54982,0.5500133333,0.002424242424,0.00001333333333
,15,1.1801,1.1203,1.1817,1.1607,111.0363636,0.6107
,30,1.3203,1.3206,1.3249,1.321933333,140.3515152,0.7719333333
,45,1.1722,1.17,1.1764,1.172866667,113.2484848,0.6228666667
,60,1.1454,1.1499,1.1547,1.15,109.0909091,0.6
,75,1.1839,1.1186,1.1797,1.160733333,111.0424242,0.6107333333
0.70,0,0.70283,0.70418,0.70057,0.7025266667,0.360952381,0.002526666667
,15,1.0836,1.1455,1.1104,1.113166667,59.02380952,0.4131666667
,30,1.0579,0.98437,1.0786,1.04029,48.61285714,0.34029
,45,1.1037,1.0418,1.1307,1.092066667,56.00952381,0.3920666667
,60,1.4215,1.3816,1.3852,1.3961,99.44285714,0.6961
,75,0.94105,0.76003,0.91321,0.87143,24.49,0.17143
0.85,0,0.84509,0.84578,0.84485,0.84524,0.56,0.00476
,15,1.46,1.4104,1.4422,1.437533333,69.12156863,0.5875333333
,30,1.4175,1.4073,1.4068,1.410533333,65.94509804,0.5605333333
,45,1.4106,1.4222,1.4377,1.4235,67.47058824,0.5735
,60,1.4264,1.4211,1.3821,1.409866667,65.86666667,0.5598666667
,75,0.87193,0.86114,0.85905,0.86404,1.651764706,0.01404
1.00,0,0.98724,0.98745,0.98111,0.9852666667,1.473333333,0.01473333333
,15,1.4023,1.3612,1.3227,1.362066667,36.20666667,0.3620666667
,30,1.4046,1.4278,1.4065,1.412966667,41.29666667,0.4129666667
,45,1.4299,1.431,1.4194,1.426766667,42.67666667,0.4267666667
,60,1.4075,1.4202,1.4349,1.420866667,42.08666667,0.4208666667
,75,1.2542,1.3974,1.2338,1.295133333,29.51333333,0.2951333333
